,Date,Coefficient,Feature
170,2011-07-01,-0.0,var_livres_bacen_lag4
171,2011-07-01,-0.03180818374416716,var_nucleo_por_exclusao_ex1_bacen_lag4
172,2011-07-01,0.018811561515194745,var_alimentacao_em_domicilio_bacen_lag4
173,2011-07-01,-0.10195621168231059,var_nucleo_ex_alimentacao_energia_exfe_bacen_lag4
174,2011-07-01,-0.015301226767814043,NOAA_Index_1_diff_lag4
175,2011-07-01,0.07808481105716916,base_monetaria_log_1_diff_lag4
176,2011-07-01,-0.04079492137743306,caged_saldo_norte_1_diff_lag4
177,2011-07-01,-0.017464154247654667,caged_saldo_sudeste_1_diff_lag4
178,2011-07-01,0.07803333262966881,base_monetaria_log_2_diff_lag4
179,2011-07-01,-0.09800379609159986,PNAD_DESOC_2_diff_lag4
180,2011-08-01,0.029486138097789546,var_ipca_15
181,2011-08-01,0.043423028348701175,var_ipc_br
182,2011-08-01,0.012097577116532627,ipca_monitor_8
183,2011-08-01,0.07668794070596932,ipca_monitor_0
184,2011-08-01,0.06874661719800809,ipca_focus
185,2011-08-01,0.04255276123770011,var_nucleo_por_exclusao_ex0_bacen_lag1
186,2011-08-01,0.03943721027523156,var_livres_bacen_lag1
187,2011-08-01,0.016338029041299298,var_nucleo_ex_alimentacao_energia_exfe_bacen_lag1
188,2011-08-01,-0.13446565780426195,var_incc_lag1
189,2011-08-01,-0.0,BRL_USD_log_1_diff_lag1
190,2011-08-01,0.07420892676984119,crb_metals_log_1_diff_lag1
191,2011-08-01,0.02174309913928949,caged_saldo_sudeste_1_diff_lag1
192,2011-08-01,0.03303488984295343,PNAD_DESOC_2_diff_lag1
193,2011-08-01,0.0002648223746733271,var_nucleo_por_exclusao_ex0_bacen_lag2
194,2011-08-01,0.0036236721093099887,var_nucleo_ex_alimentacao_energia_exfe_bacen_lag2
195,2011-08-01,-0.24266820928975777,var_incc_lag2
196,2011-08-01,0.09092943196336604,U_S__Treasury_10_years_nominal_yield_1_diff_lag2
197,2011-08-01,0.09703665618756663,crb_metals_log_1_diff_lag2
198,2011-08-01,0.005691393307294178,consu_energia_outros_log_1_diff_lag2
199,2011-08-01,-0.023468643935538026,caged_saldo_nordeste_1_diff_lag2
200,2011-08-01,0.05978944083546698,DXY_log_1_diff_lag3
201,2011-08-01,0.02331253973753468,base_monetaria_log_1_diff_lag3
202,2011-08-01,0.02337183818177009,base_monetaria_log_2_diff_lag3
203,2011-08-01,0.05459356920484251,var_alimentacao_em_domicilio_bacen_lag4
204,2011-08-01,-0.04978527362106622,var_nucleo_ex_alimentacao_energia_exfe_bacen_lag4
205,2011-08-01,-0.008636209682774428,NOAA_Index_1_diff_lag4
206,2011-08-01,0.11158133598358391,base_monetaria_log_1_diff_lag4
207,2011-08-01,0.002236459623582929,base_monetaria_2_diff_lag4
208,2011-08-01,0.11164929167069243,base_monetaria_log_2_diff_lag4
209,2011-08-01,-0.08649777526697308,PNAD_DESOC_2_diff_lag4
210,2011-09-01,0.015064764742104858,var_ipca_15
211,2011-09-01,0.06014125030995773,var_ipc_br
212,2011-09-01,0.001553250204324989,ipca_monitor_1
213,2011-09-01,0.06500277597893993,ipca_monitor_0
214,2011-09-01,0.05078829514179706,ipca_focus
215,2011-09-01,0.09316618978566939,var_nucleo_por_exclusao_ex0_bacen_lag1
216,2011-09-01,0.06049386959681061,var_livres_bacen_lag1
217,2011-09-01,0.026482058341985557,var_nucleo_ex_alimentacao_energia_exfe_bacen_lag1
218,2011-09-01,-0.11527434467534445,var_incc_lag1
219,2011-09-01,-0.02536254215127104,DXY_log_1_diff_lag1
220,2011-09-01,0.03804653150394251,crb_metals_log_1_diff_lag1
221,2011-09-01,0.039877182911781425,PNAD_DESOC_2_diff_lag1
222,2011-09-01,0.023241981506287365,var_nucleo_por_exclusao_ex0_bacen_lag2
223,2011-09-01,0.007788575048552206,var_livres_bacen_lag2
224,2011-09-01,0.057343666680270675,var_nucleo_ex_alimentacao_energia_exfe_bacen_lag2
225,2011-09-01,-0.23083126751433944,var_incc_lag2
226,2011-09-01,0.043912296979071175,crb_metals_log_1_diff_lag2
227,2011-09-01,0.0039011513577937845,caged_saldo_centro_oeste_1_diff_lag2
228,2011-09-01,0.02289291002229321,PNAD_DESOC_2_diff_lag2
229,2011-09-01,-0.010530513141166398,var_incc_lag3
230,2011-09-01,0.0021441244033538224,DXY_log_1_diff_lag3
231,2011-09-01,0.0946367952201233,crb_metals_log_1_diff_lag3
232,2011-09-01,0.039832987503565565,base_monetaria_log_1_diff_lag3
233,2011-09-01,0.0398759408055212,base_monetaria_log_2_diff_lag3
234,2011-09-01,0.04981697330905263,var_alimentacao_em_domicilio_bacen_lag4
235,2011-09-01,0.08762659667170901,DXY_log_1_diff_lag4
236,2011-09-01,0.0053352282316444745,consu_energia_residencia_log_1_diff_lag4
237,2011-09-01,0.09216334246075843,base_monetaria_log_1_diff_lag4
238,2011-09-01,0.09219868294359648,base_monetaria_log_2_diff_lag4
239,2011-09-01,-0.02987507019373653,PNAD_DESOC_2_diff_lag4
240,2011-10-01,0.016054374825787372,var_ipca_15
241,2011-10-01,0.04489701559128663,var_ipc_br
242,2011-10-01,0.0,ipca_monitor_2
243,2011-10-01,0.0,ipca_monitor_5
244,2011-10-01,0.0,ipca_monitor_6
245,2011-10-01,-0.0,ipca_monitor_8
246,2011-10-01,0.02304309087951661,ipca_monitor_0
