data,ipca_monitor_0,var_ipc_fipe,ipca_monitor_11,ipca_focus,ipca_monitor_1,consu_energia_residencia_log_1_diff_lag2,var_ipc_br,var_ipca_15,ipca_monitor_5,BRL_USD_log_1_diff_lag4,var_livres_bacen_lag1,consu_energia_comercial_log_1_diff_lag1,U_S__Treasury_10_years_nominal_yield_1_diff,consu_energia_outros_log_1_diff_lag4,caged_saldo_nordeste_1_diff_lag1,PNAD_DESOC_2_diff_lag1,consume_confidence_1_diff_lag3,U_S__Treasury_10_years_nominal_yield_1_diff_lag2,consu_energia_brasil_total_log_1_diff_lag1,consu_energia_brasil_total_log_1_diff_lag3,BRL_USD_log_1_diff_lag3,PNAD_DESOC_2_diff_lag3,DXY_log_1_diff_lag4,NOAA_Index_1_diff,BRL_USD_log_1_diff,consu_energia_outros_log_1_diff_lag3,PNAD_DESOC_2_diff_lag4,caged_saldo_nordeste_1_diff_lag3,caged_saldo_nordeste_1_diff_lag2,var_livres_bacen_lag4,var_ipca_bacen
2012-10-01,0.59,0.8,1.55,0.56,1.36,0.036837357,0.48,0.65,0.24,0.031491772,0.66,0.031084111,0.0566,-0.020578343,41628,-0.2,-1.79,0.0805,0.012880646,-0.016868369,-0.011248368,-0.1,0.014312919,-0.1,0.001320486,-0.015994458,-0.1,-1252,8434,0.06,0.59
2012-11-01,0.6,0.68,0.52,0.49,0.79,0.013112572,0.45,0.54,0.68,-0.011248368,0.7,0.013746971,-0.0745,-0.015994458,-57499,-0.2,-4.26,0.0851,0.003551648,0.034560261,-0.000411185,-0.1,0.009295625,-0.2,0.020154639,0.041918502,-0.1,8434,41628,0.51,0.6
2012-12-01,0.79,0.78,1.17,0.71,1.03,0.00399243,0.66,0.69,0.75,-0.000411185,0.62,0.067312658,0.1418,0.041918502,3320,-0.1,1.99,0.0566,0.022188247,0.012880646,-0.000389618,-0.2,-0.010463309,-0.3,0.003439175,0.036811832,-0.1,41628,-57499,0.5,0.79
2013-01-01,0.86,1.15,2.49,0.85,1.99,0.045046813,1.01,0.88,0.75,-0.000389618,0.94,0.004104457,0.2275,0.036811832,-67772,0.1,3.09,-0.0745,-0.023008776,0.003551648,0.001320486,-0.2,-0.028372575,-0.2,-0.024153829,0.005295989,-0.2,-57499,3320,0.66,0.86
2013-02-01,0.6,0.22,1.63,0.47,1.45,-0.010406534,0.33,0.68,0.81,0.001320486,1.2,0.017084858,-0.1093,0.005295989,21505,0.3,-1.69,0.1418,0.015814967,0.022188247,0.020154639,-0.1,-0.001500304,0.0,-0.027264259,0.002382574,-0.2,3320,-67772,0.7,0.6
2013-03-01,0.47,-0.17,1.36,0.5,1.14,0.075256317,0.72,0.49,-0.09,0.020154639,1.13,-0.023461075,-0.027,0.002382574,13319,0.5,2.12,0.2275,-0.009453673,-0.023008776,0.003439175,0.1,0.011599783,0.1,0.004856941,-0.028447742,-0.1,-67772,21505,0.62,0.47
2013-04-01,0.55,0.28,1.1,0.45,0.96,-0.042062275,0.52,0.51,-0.19,0.003439175,0.53,0.015794998,-0.1769,-0.028447742,-19739,0.3,-1.26,-0.1093,0.01140657,0.015814967,-0.024153829,0.3,-0.011430384,0.0,0.009062779,0.02623554,0.1,21505,13319,0.94,0.55
2013-05-01,0.37,0.1,0.05,0.38,0.31,-0.011328846,0.32,0.46,-0.25,-0.024153829,0.59,-0.013523238,0.4565,0.02623554,33992,-0.2,5.3,-0.027,0.005499651,-0.009453673,-0.027264259,0.5,0.001543215,-0.1,0.017923178,-0.028511651,0.3,13319,-19739,1.2,0.37
2013-06-01,0.26,0.32,-0.36,0.33,0.04,-0.005324568,0.35,0.38,0.14,-0.027264259,0.39,-0.031405635,0.3575,-0.028511651,3723,-0.2,-5.89,-0.1769,-0.008026121,0.01140657,0.004856941,0.3,0.009595062,0.0,0.064704045,0.014962005,0.5,-19739,33992,1.13,0.26
2013-07-01,0.03,-0.13,-0.73,0.03,-0.33,-0.005841138,-0.17,0.07,-0.66,0.004856941,0.22,-0.03545203,0.0905,0.014962005,18466,-0.2,-4.34,0.4565,-0.018875687,0.005499651,0.009062779,-0.2,0.024073362,0.0,0.03455474,-0.014261111,0.3,33992,3723,0.53,0.03
