,lags,params,mean_squared_error,max_depth,n_estimators
165,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 5, 'n_estimators': 100}",0.00986320727379085,5,100
206,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 15, 'n_estimators': 150}",0.009863237230273754,15,150
118,[1 2 3 4 5 6 7 8],"{'max_depth': 5, 'n_estimators': 150}",0.009865899708317916,5,150
69,[1 2 3 4 5],"{'max_depth': 5, 'n_estimators': 100}",0.00987945112687568,5,100
105,[1 2 3 4 5 6 7],"{'max_depth': 10, 'n_estimators': 100}",0.009879846933333335,10,100
107,[1 2 3 4 5 6 7],"{'max_depth': 10, 'n_estimators': 200}",0.009885383755072457,10,200
266,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 10, 'n_estimators': 150}",0.009897121030595807,10,150
270,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 15, 'n_estimators': 150}",0.009897121030595807,15,150
111,[1 2 3 4 5 6 7],"{'max_depth': 15, 'n_estimators': 200}",0.00990038318840579,15,200
58,[1 2 3 4],"{'max_depth': 10, 'n_estimators': 150}",0.009900638647342993,10,150
62,[1 2 3 4],"{'max_depth': 15, 'n_estimators': 150}",0.009900638647342993,15,150
173,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 15, 'n_estimators': 100}",0.009901388260869563,15,100
169,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 10, 'n_estimators': 100}",0.009907887246376808,10,100
175,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 15, 'n_estimators': 200}",0.009909263913043469,15,200
116,[1 2 3 4 5 6 7 8],"{'max_depth': 5, 'n_estimators': 50}",0.009910174463431792,5,50
104,[1 2 3 4 5 6 7],"{'max_depth': 10, 'n_estimators': 50}",0.009912335072463767,10,50
108,[1 2 3 4 5 6 7],"{'max_depth': 15, 'n_estimators': 50}",0.009912335072463767,15,50
109,[1 2 3 4 5 6 7],"{'max_depth': 15, 'n_estimators': 100}",0.009912633188405797,15,100
15,[1],"{'max_depth': 15, 'n_estimators': 200}",0.009915206594202888,15,200
11,[1],"{'max_depth': 10, 'n_estimators': 200}",0.009915206594202888,10,200
264,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 10, 'n_estimators': 50}",0.009920172753623184,10,50
268,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 15, 'n_estimators': 50}",0.009920172753623184,15,50
171,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 10, 'n_estimators': 200}",0.009921304059420278,10,200
271,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 15, 'n_estimators': 200}",0.009922703731884048,15,200
